طابع زمني,Are you a student at University of Gezira?,Age,Gender,Faculty,Academic level,Causes of dental caries,Causes of bleeding during tooth brushing:,Influence of dental plaque:,Measures that prevent oral diseases:,Systemic diseases that may be related to oral diseases:,Which is more important for oral health: self-administration or dentist?:,Frequency of daily tooth brushing.,Duration of tooth brushing.,Frequency of replacing tooth brush.,Frequency of visiting dentist.,Method of tooth brushing:,Oral hygiene methods besides tooth brushing:,What oral health problem(s) do you have (you can choose more than one):
7/30/2024 19:18:00,Yes,20,Female,Medicine,Third year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Brushing too hard, Systemic disease",Including periodontal diseases,"Application of fluoride, Pit & fissure sealing, Tooth scaling",Diabetes mellitus,Self-administration of oral hygiene,2,More than 3 minutes,Every two months,More than 2 times a year,Vertical scrub,"Mouthwash, Sugar-free chewing gum","Dental caries, Oral ulcers, Tooth discoloration"
7/30/2024 20:07:09,Yes,22,Female,Medicine,Fourth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard","Affecting appearance, Inducing dental caries",Don't know,"Heart diseases, Diabetes mellitus, Cancer","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,"Dental floss, Mouthwash",No problem
7/30/2024 20:26:51,Yes,24,Female,Medicine,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus, Hypertension, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,More than 2 times a year,Vertical scrub,"Dental floss, Mouthwash, Toothpick",No problem
7/30/2024 22:13:33,Yes,23,Male,Medicine,Fourth year,Frequent ingestion of sugar,Brushing too hard,Affecting appearance,Application of fluoride,Don't know,Self-administration of oral hygiene,2,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Irregular,Mouthwash,No problem
7/30/2024 22:27:18,Yes,23,Female,Medicine,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries",Don't know,"Heart diseases, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,Once a year,Vertical scrub,"Mouthwash, Sugar-free chewing gum, Toothpick",No problem
7/30/2024 22:42:39,Yes,22,Female,Medicine,Third year,Inadequate tooth brushing,Brushing too hard,Don't know,Tooth scaling,"Diabetes mellitus, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,More than 2 times a year,Modified pass technique,Mouthwash,Dental caries
7/30/2024 22:52:23,Yes,23,Male,Medicine,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries","Application of fluoride, Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Hypertension, Other diseases",Self-administration of oral hygiene,1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Vertical scrub,Mouthwash,Tooth discoloration
7/30/2024 23:26:46,Yes,24,Female,Medicine,Fourth year,Inadequate tooth brushing,Don't know,Don't know,Application of fluoride,Cancer,Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,None,Dental caries
7/30/2024 23:28:00,Yes,24,Female,Dentistry,Fifth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus, Hypertension, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,Once a year,Modified pass technique,"Dental floss, Mouthwash, Sugar-free chewing gum","Dental caries, Tooth hypersensitivity"
7/31/2024 2:41:43,Yes,24 years old,Male,Dentistry,Third year,Frequent ingestion of sugar,Periodontal disease,Inducing dental caries,Application of fluoride,Diabetes mellitus,Regular visit to dentist,2,2 to 3 minutes,Every three months,Once a year,Vertical scrub,Mouthwash,Caries in lower 7 right side
7/31/2024 3:55:35,Yes,22 years ,Female,Medicine,Third year,Inadequate tooth brushing,Brushing too hard,Affecting appearance,Tooth scaling,"Heart diseases, Diabetes mellitus, Cancer","Self-administration of oral hygiene, Regular visit to dentist",2,One minute or less,Every month,Once a year,Irregular,"Mouthwash, Sugar-free chewing gum, Toothpick",Dental caries
7/31/2024 4:10:52,Yes,18,Female,Medicine,First year,Don't know,Brushing too hard,Don't know,Don't know,None of the above,Regular visit to dentist,2,2 to 3 minutes,Every three months,Once a year,Irregular,None,"Bad breath, Dental caries, Toothache, "
7/31/2024 6:08:26,Yes,23,Female,Medicine,Fourth year,Dynamic of oral micro-flora,"Periodontal disease, Brushing too hard",Affecting appearance,"Application of fluoride, Tooth scaling",Other diseases,Self-administration of oral hygiene,1,One minute or less,Until it can't be used,When I have a dental problem/oral disease,Horizontal scrub,Mouthwash,Dental caries
7/31/2024 8:18:34,Yes,24,Male,Medicine,Third year,Frequent ingestion of sugar,Brushing too hard,Inducing dental caries,Pit & fissure sealing,Hypertension,Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,More than 2 times a year,Horizontal scrub,Mouthwash,Dental caries
7/31/2024 8:33:52,Yes,21,Male,Medicine,Third year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease",Don't know,Application of fluoride,Don't know,Regular visit to dentist,1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Horizontal scrub,None,Toothache
7/31/2024 8:34:38,Yes,18,Female,Medicine,First year,Dynamic of oral micro-flora,Systemic disease,Don't know,Tooth scaling,Diabetes mellitus,Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,Mouthwash,"Gingival bleeding, Toothache"
7/31/2024 8:37:39,Yes,26,Male,Medicine,Fifth year,Don't know,"Natural physiological phenomenon, Brushing too hard",Don't know,Tooth scaling,"Heart diseases, Diabetes mellitus, Hypertension, Cancer",Self-administration of oral hygiene,1,One minute or less,Every month,When I have a dental problem/oral disease,Irregular,Sugar-free chewing gum,"Bad breath, Oral ulcers, Tooth hypersensitivity"
7/31/2024 8:40:12,Yes,25,Male,Medicine,Fifth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries",Application of fluoride,"Heart diseases, Diabetes mellitus, Cancer",Regular visit to dentist,2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Modified pass technique,Toothpick,Tooth discoloration
7/31/2024 9:09:24,Yes,22,Female,Medicine,Third year,Don't know,Don't know,Don't know,Don't know,Don't know,"Self-administration of oral hygiene, Regular visit to dentist",More than 2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,Mouthwash,Dental caries
7/31/2024 9:13:05,Yes,23,Female,Medicine,Third year,"Frequent ingestion of sugar, Inadequate tooth brushing",Brushing too hard,"Affecting appearance, Inducing dental caries",Tooth scaling,"Heart diseases, Diabetes mellitus",Self-administration of oral hygiene,2,2 to 3 minutes,Every two months,When I have a dental problem/oral disease,Modified pass technique,Mouthwash,"Dental caries, Toothache, Tooth hypersensitivity"
7/31/2024 9:36:18,Yes,24,Male,Medicine,Fifth year,"Frequent ingestion of sugar, Inadequate tooth brushing",Periodontal disease,Affecting appearance,"Application of fluoride, Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",1,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,"Mouthwash, Sugar-free chewing gum",Gingival bleeding
7/31/2024 9:53:22,Yes,21,Male,Dentistry,Second year,"Frequent ingestion of sugar, Dynamic of oral micro-flora","Periodontal disease, Brushing too hard","Affecting appearance, Including periodontal diseases","Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus, Other diseases",Regular visit to dentist,2,2 to 3 minutes,Every three months,Twice a year,Vertical scrub,"Dental floss, Mouthwash","Dental caries, Gingival bleeding"
7/31/2024 9:58:36,Yes,22,Female,Medicine,Fourth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease",Don't know,Tooth scaling,"Heart diseases, Diabetes mellitus",Regular visit to dentist,1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Irregular,None,Dental caries
7/31/2024 10:13:28,Yes,22,Female,Medicine,Fourth year,Dynamic of oral micro-flora,"Natural physiological phenomenon, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries","Application of fluoride, Pit & fissure sealing","Heart diseases, Hypertension, Other diseases",Regular visit to dentist,2,More than 3 minutes,Every three months,Once a year,Vertical scrub,"Mouthwash, Sugar-free chewing gum","Dental caries, Toothache"
7/31/2024 11:02:30,Yes,24,Female,Medicine,Fourth year,Frequent ingestion of sugar,Brushing too hard,Don't know,Don't know,Diabetes mellitus,Regular visit to dentist,2,2 to 3 minutes,Every three months,Once a year,Modified pass technique,Sugar-free chewing gum,Tooth discoloration
7/31/2024 11:08:25,Yes,25,Female,Dentistry,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,One minute or less,Every three months,Twice a year,Modified pass technique,"Dental floss, Mouthwash, Sugar-free chewing gum",Gingival enlargment
7/31/2024 11:13:03,Yes,25,Female,Medicine,Fifth year,Inadequate tooth brushing,Brushing too hard,Don't know,"Tooth scaling, Don't know",Other diseases,Regular visit to dentist,2,2 to 3 minutes,Every three months,Twice a year,Modified pass technique,None,Dental caries
7/31/2024 11:47:14,Yes,25,Male,Medicine,Fifth year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Tooth scaling","Heart diseases, Diabetes mellitus, Cancer, Other diseases",Self-administration of oral hygiene,2,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Vertical scrub,None,Tooth hypersensitivity
7/31/2024 14:19:33,Yes,19,Male,Medicine,Second year,"Frequent ingestion of sugar, Inadequate tooth brushing",Brushing too hard,"Affecting appearance, Not a big deal",Don't know,Don't know,Self-administration of oral hygiene,1,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,None,"Toothache, Tooth discoloration"
7/31/2024 14:30:32,Yes,21,Male,Medicine,Second year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing",Brushing too hard,Not a big deal,"Application of fluoride, Pit & fissure sealing",Heart diseases,Self-administration of oral hygiene,More than 2,2 to 3 minutes,Every month,When I have a dental problem/oral disease,Horizontal scrub,Toothpick,"Toothache, Tooth hypersensitivity"
7/31/2024 14:33:27,Yes,20,Female,Medicine,First year,Don't know,Brushing too hard,Not a big deal,Application of fluoride,None of the above,"Self-administration of oral hygiene, Regular visit to dentist",1,More than 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,"Dental floss, Toothpick",No problem
7/31/2024 15:20:18,Yes,21,Female,Medicine,Third year,Frequent ingestion of sugar,Periodontal disease,Don't know,Application of fluoride,"Heart diseases, Diabetes mellitus","Self-administration of oral hygiene, Regular visit to dentist",1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Vertical scrub,Sugar-free chewing gum,"Dental caries, Gingival bleeding, Toothache"
7/31/2024 17:27:27,Yes,20,Female,Medicine,First year,"Frequent ingestion of sugar, Inadequate tooth brushing",Periodontal disease,Affecting appearance,Pit & fissure sealing,"Heart diseases, Diabetes mellitus, Hypertension, Cancer",Regular visit to dentist,2,More than 3 minutes,Every month,Twice a year,Fones technique,None,"Bad breath, Dental caries, Oral ulcers, Toothache, Tooth hypersensitivity"
7/31/2024 19:55:40,Yes,22,Male,Medicine,First year,Frequent ingestion of sugar,"Brushing too hard, Systemic disease",Inducing dental caries,"Application of fluoride, Tooth scaling",Heart diseases,"Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every two months,When I have a dental problem/oral disease,Vertical scrub,Dental floss,Dental caries
7/31/2024 20:01:11,,,,,,,,,,,,,,,,,,
7/31/2024 20:04:38,Yes,20,Female,Medicine,Second year,Inadequate tooth brushing,Periodontal disease,Don't know,Tooth scaling,Don't know,Regular visit to dentist,2,2 to 3 minutes,Every two months,When I have a dental problem/oral disease,Vertical scrub,Sugar-free chewing gum,No problem
7/31/2024 20:27:42,Yes,20,Female,Medicine,Second year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries",Don't know,Don't know,Self-administration of oral hygiene,2,One minute or less,Until it can't be used,When I have a dental problem/oral disease,Modified pass technique,"Dental floss, Mouthwash, Toothpick",No problem
7/31/2024 20:31:08,Yes,21,Female,Medicine,Second year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing",Don't know,Don't know,"Application of fluoride, Pit & fissure sealing, Tooth scaling","None of the above, Don't know","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,Twice a year,Vertical scrub,"Dental floss, Mouthwash, Toothpick","Bruxism, Gingival bleeding, Tooth hypersensitivity"
7/31/2024 20:39:41,Yes,21,Female,Medicine,Second year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Periodontal disease, Brushing too hard, Systemic disease",Don't know,Don't know,"Heart diseases, None of the above, Don't know","Self-administration of oral hygiene, Regular visit to dentist",2,More than 3 minutes,Every two months,More than 2 times a year,Irregular,"Dental floss, Toothpick","Gingival bleeding, Oral ulcers, Tooth discoloration, Tooth hypersensitivity"
7/31/2024 20:41:31,Yes,18,Female,Medicine,First year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing",Brushing too hard,"Affecting appearance, Inducing dental caries, Don't know",Application of fluoride,Don't know,Regular visit to dentist,2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Fones technique,None,Bad breath
7/31/2024 21:33:16,Yes,19,Female,Medicine,Second year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease",Don't know,Don't know,"Heart diseases, Diabetes mellitus, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every two months,When I have a dental problem/oral disease,Modified pass technique,Sugar-free chewing gum,No problem
7/31/2024 21:52:28,Yes,21,Male,Medicine,Second year,"Frequent ingestion of sugar, Inadequate tooth brushing","Natural physiological phenomenon, Brushing too hard, Systemic disease",Don't know,Don't know,"Cancer, Other diseases",Self-administration of oral hygiene,2,2 to 3 minutes,Every two months,When I have a dental problem/oral disease,Vertical scrub,None,No problem
7/31/2024 22:34:42,Yes,21,Female,Medicine,Fifth year,"Toothpaste without fluoride, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Brushing too hard, Systemic disease","Affecting appearance, Don't know","Application of fluoride, Don't know","Heart diseases, Other diseases, Don't know",Regular visit to dentist,2,2 to 3 minutes,Every two months,Once a year,Horizontal scrub,"Dental floss, Mouthwash","Bad breath, Dental caries, Oral ulcers, Toothache, Tooth discoloration, Tooth hypersensitivity"
8/1/2024 3:40:09,Yes,23,Male,Medicine,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries","Application of fluoride, Pit & fissure sealing, Tooth scaling",Diabetes mellitus,"Self-administration of oral hygiene, Regular visit to dentist",1,2 to 3 minutes,Until it can't be used,Once a year,Horizontal scrub,Sugar-free chewing gum,Tooth hypersensitivity
8/1/2024 5:13:21,Yes,20,Female,Medicine,Third year,Don't know,"Brushing too hard, Systemic disease",Don't know,Don't know,Diabetes mellitus,Regular visit to dentist,1,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,Mouthwash,Dental caries
8/1/2024 7:31:24,Yes,20,Female,Medicine,Third year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease",Don't know,Application of fluoride,Diabetes mellitus,Self-administration of oral hygiene,1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Irregular,None,Dental caries
8/1/2024 8:04:17,Yes,20,Female,Medicine,Third year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases",Don't know,"Diabetes mellitus, Cancer",Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,Twice a year,Modified pass technique,"Dental floss, Mouthwash, Toothpick","Oral ulcers, Tooth discoloration"
8/1/2024 10:12:00,Yes,19,Male,Medicine,First year,Inadequate tooth brushing,Brushing too hard,"Affecting appearance, Inducing dental caries",Don't know,Hypertension,Regular visit to dentist,2,2 to 3 minutes,Every month,Twice a year,Horizontal scrub,"Dental floss, Sugar-free chewing gum",أسنان ما مرتبة (بحتاج طقم أسنان)
8/1/2024 11:26:03,Yes,21,Male,Medicine,Second year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing",Brushing too hard,"Affecting appearance, Inducing dental caries",Application of fluoride,Don't know,"Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,Mouthwash,"Gingival bleeding, Tooth hypersensitivity"
8/1/2024 16:07:29,Yes,23,Female,Medicine,Third year,Frequent ingestion of sugar,Systemic disease,Don't know,Don't know,"Heart diseases, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,More than 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,Dental floss,No problem
8/1/2024 16:18:48,Yes,20,Female,Medicine,Third year,"Dynamic of oral micro-flora, Inadequate tooth brushing",Systemic disease,"Affecting appearance, Inducing dental caries","Application of fluoride, Pit & fissure sealing","Diabetes mellitus, Other diseases",Self-administration of oral hygiene,2,One minute or less,Until it can't be used,When I have a dental problem/oral disease,Modified pass technique,None,No problem
8/1/2024 16:36:22,Yes,20,Female,Medicine,Third year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing",Periodontal disease,Don't know,Application of fluoride,Heart diseases,Self-administration of oral hygiene,2,2 to 3 minutes,Every two months,When I have a dental problem/oral disease,Modified pass technique,Sugar-free chewing gum,"Tooth discoloration, Tooth hypersensitivity"
8/1/2024 16:49:36,Yes,25,Female,Medicine,Fourth year,"Frequent ingestion of sugar, Inadequate tooth brushing","Brushing too hard, Systemic disease",Don't know,"Tooth scaling, Don't know","Heart diseases, Diabetes mellitus, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,More than 2 times a year,Vertical scrub,"Dental floss, Mouthwash, Toothpick",No problem
8/1/2024 16:57:24,Yes,21years old,Female,Medicine,Third year,Dynamic of oral micro-flora,Periodontal disease,Don't know,Application of fluoride,Heart diseases,Self-administration of oral hygiene,2,2 to 3 minutes,Every two months,When I have a dental problem/oral disease,Irregular,None,No problem
8/1/2024 16:58:53,Yes,21years old,Female,Medicine,Third year,Toothpaste without fluoride,Periodontal disease,Don't know,Application of fluoride,Don't know,Regular visit to dentist,2,2 to 3 minutes,Every two months,When I have a dental problem/oral disease,Irregular,None,No problem
8/1/2024 17:13:53,Yes,22,Female,Medicine,Fifth year,,"Periodontal disease, Brushing too hard",,,,,,,,,,,
8/1/2024 19:51:52,Yes,19,Female,Medicine,Third year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Brushing too hard","Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing","Heart diseases, Diabetes mellitus, Hypertension, Cancer",Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,Sugar-free chewing gum,Tooth hypersensitivity
8/1/2024 20:03:43,Yes,21,Female,Medicine,Third year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Tooth scaling",Cancer,Self-administration of oral hygiene,1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Irregular,"Dental floss, Mouthwash",No problem
8/1/2024 21:54:46,Yes,23,Female,Medicine,Fourth year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease",Affecting appearance,Don't know,"Heart diseases, Diabetes mellitus, Cancer","Self-administration of oral hygiene, Regular visit to dentist",2,More than 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,None,Dental caries
8/1/2024 21:57:23,Yes,23,Female,Medicine,Fourth year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Heart diseases, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",1,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,"Mouthwash, Toothpick",No problem
8/1/2024 22:15:14,Yes,21,Female,Medicine,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease",Affecting appearance,"Application of fluoride, Tooth scaling","Heart diseases, Diabetes mellitus, Other diseases",Self-administration of oral hygiene,2,More than 3 minutes,Every three months,Twice a year,Horizontal scrub,"Mouthwash, Toothpick","Dental caries, Toothache"
8/1/2024 23:23:04,Yes,23,Female,Medicine,Third year,Dynamic of oral micro-flora,"Brushing too hard, Systemic disease",Inducing dental caries,Don't know,"Diabetes mellitus, Cancer",Regular visit to dentist,2,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Vertical scrub,Mouthwash,"Dental caries, Gingival bleeding, Oral ulcers, Tooth hypersensitivity"
8/1/2024 23:50:08,Yes,21,Female,Medicine,Third year,"Frequent ingestion of sugar, Inadequate tooth brushing","Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases",Don't know,"Heart diseases, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,One minute or less,Every three months,When I have a dental problem/oral disease,Irregular,"Mouthwash, Toothpick","Dental caries, Toothache, Tooth discoloration, Tooth hypersensitivity"
8/2/2024 1:40:33,Yes,23,Female,Medicine,Fifth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing",,"Affecting appearance, Inducing dental caries",Tooth scaling,"Heart diseases, Diabetes mellitus, Hypertension, Cancer","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,Once a year,Horizontal scrub,Dental floss,Dental caries
8/2/2024 2:27:23,Yes,19,Female,Medicine,First year,"Frequent ingestion of sugar, Inadequate tooth brushing",Brushing too hard,"Affecting appearance, Inducing dental caries",Application of fluoride,Don't know,"Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,Dental floss,"Dental caries, Tooth hypersensitivity"
8/2/2024 3:35:10,Yes,24,Female,Medicine,Fifth year,Inadequate tooth brushing,Don't know,Don't know,Don't know,Don't know,Self-administration of oral hygiene,2,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Modified pass technique,None,No problem
8/2/2024 3:38:26,Yes,24,Female,Medicine,Fifth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Including periodontal diseases","Application of fluoride, Pit & fissure sealing","Heart diseases, Diabetes mellitus",Self-administration of oral hygiene,1,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,None,Dental caries
8/2/2024 5:03:14,Yes,27,Male,Medicine,Fifth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing",Periodontal disease,Don't know,Application of fluoride,"Heart diseases, Other diseases",Self-administration of oral hygiene,More than 2,2 to 3 minutes,Every two months,When I have a dental problem/oral disease,Horizontal scrub,"Dental floss, Toothpick","Bad breath, Dental caries, Toothache, Tooth hypersensitivity"
8/2/2024 5:08:09,Yes,19,Female,Medicine,First year,"Toothpaste without fluoride, Frequent ingestion of sugar, Don't know","Brushing too hard, Don't know",Not a big deal,Application of fluoride,"Diabetes mellitus, Hypertension, Cancer","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Fones technique,None,No problem
8/2/2024 5:16:08,Yes,20,Female,Medicine,First year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Cancer, Other diseases",Self-administration of oral hygiene,1,More than 3 minutes,Every three months,When I have a dental problem/oral disease,Modified pass technique,"Sugar-free chewing gum, None","Dental caries, Tooth hypersensitivity"
8/2/2024 6:02:09,Yes,19,Female,Medicine,First year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease",Affecting appearance,Don't know,"Heart diseases, Diabetes mellitus","Self-administration of oral hygiene, Regular visit to dentist",1,2 to 3 minutes,Every two months,When I have a dental problem/oral disease,Horizontal scrub,"Mouthwash, Sugar-free chewing gum","Dental caries, Gingival bleeding, Toothache, Tooth discoloration, Tooth hypersensitivity"
8/2/2024 6:17:12,Yes,20,Female,Medicine,First year,Don't know,Systemic disease,Don't know,Application of fluoride,Other diseases,Self-administration of oral hygiene,1,One minute or less,Until it can't be used,When I have a dental problem/oral disease,Irregular,Toothpick,Dental caries
8/2/2024 7:17:48,Yes,19,Female,Medicine,First year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Periodontal disease, Brushing too hard","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling",,Self-administration of oral hygiene,2,More than 3 minutes,Every three months,When I have a dental problem/oral disease,Horizontal scrub,"Mouthwash, Sugar-free chewing gum","Bad breath, Gingival bleeding, Tooth discoloration"
8/2/2024 8:19:59,Yes,20,Female,Medicine,Third year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Periodontal disease, Brushing too hard","Affecting appearance, Not a big deal",Application of fluoride,"Heart diseases, Don't know",Self-administration of oral hygiene,2,2 to 3 minutes,Every two months,When I have a dental problem/oral disease,Horizontal scrub,None,No problem
